Substance,ISO,Country,geo,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,ESP,Spain and Andorra,,,9597.60,9286.98,9570.00,9213.04,9060.97,9261.12,10166.08,9148.87,9953.17,10139.35,9778.92,9770.41,9447.22,10167.59,10883.71,11639.50,12414.49,12112.36,11438.22,9896.03,10477.52,9062.37,8287.08,6396.96,6129.32,6847.48,7874.65,9441.25,9814.21,10289.52,5359.52,7762.75,10840.74,10624.36,10904.03
GWP_100_AR5_GHG,EST,Estonia,EE00,Eesti,45580.28,41906.78,31444.36,26353.38,26634.79,24595.91,25585.45,25119.96,22968.50,21354.15,21735.60,22228.15,21512.35,23529.74,24119.79,24049.22,23390.52,27198.03,25135.75,21788.64,26728.37,26856.97,25837.26,28386.44,27608.74,25887.29,25279.65,26757.67,28520.17,19854.40,15992.19,16694.45,18720.82,14958.13,14103.35
GWP_100_AR5_GHG,EST,Estonia,,,28.52,25.33,19.04,19.04,15.85,15.85,25.42,22.23,22.23,19.04,25.42,28.00,27.93,34.44,32.12,33.37,27.03,30.75,30.85,28.70,28.32,19.35,15.79,16.68,23.09,23.31,19.35,24.47,24.49,20.88,24.05,24.46,23.20,26.18,25.85
GWP_100_AR5_GHG,ETH,Ethiopia,,,66775.77,67666.95,69514.19,64498.41,67107.36,68223.77,71673.40,74060.55,79056.11,79145.39,77080.89,82543.82,90308.59,89589.48,92117.86,95532.48,101347.27,110999.89,116471.54,121154.73,126801.77,126665.40,131864.17,137035.76,143173.28,147717.92,154291.62,157841.42,162682.18,173874.25,181533.39,176960.56,180463.55,188446.94,192704.01
GWP_100_AR5_GHG,FIN,Finland,FI19,Länsi-Suomi,22060.04,21983.45,21187.16,21779.28,25386.29,24217.37,26980.80,26466.83,24780.82,24479.75,23464.55,25502.84,26515.22,29436.73,28156.30,23290.40,27817.23,26442.84,23452.99,22133.58,22469.37,19684.42,17920.58,18453.03,17302.40,17715.61,18814.95,17729.50,16715.19,15587.97,14093.48,15055.69,15226.78,13006.12,13022.70
GWP_100_AR5_GHG,FIN,Finland,FI1B,Helsinki-Uusimaa,16597.48,17794.79,16265.57,17423.11,18583.65,17797.05,20423.71,19853.06,17806.90,17928.61,17935.14,20645.95,21842.86,25403.37,23824.69,18376.06,23665.60,23395.49,19877.79,20304.65,23788.63,20536.22,17842.66,18470.43,17920.56,13629.52,13930.85,13127.38,14319.99,13315.72,12238.07,12440.14,11783.06,10923.70,9877.31
GWP_100_AR5_GHG,FIN,Finland,FI1C,Etelä-Suomi,19594.65,19198.39,18328.41,18507.48,19932.04,18688.72,19836.87,18963.22,19100.50,18780.62,18608.56,19636.80,19799.01,21680.55,20944.74,18831.12,20922.86,20690.31,19061.93,17402.94,19752.16,18543.77,17129.15,17378.97,16350.11,16460.59,17051.41,16932.73,17406.06,16188.20,14423.45,13702.56,13520.08,12600.39,12662.76
GWP_100_AR5_GHG,FIN,Finland,FI1D,Pohjois- ja Itä-Suomi,13927.31,13580.20,13525.65,13070.18,13861.12,13749.85,13465.97,13441.93,14240.92,13887.92,13716.85,14016.56,13970.65,14194.97,14117.19,13828.68,14159.48,14208.81,13540.53,12499.30,16081.57,15094.44,14984.77,14532.15,13321.03,13317.13,14163.73,13094.39,13859.37,13831.74,13089.04,13705.20,13013.28,12827.89,12601.46
GWP_100_AR5_GHG,FIN,Finland,FI20,Aland,95.94,95.23,94.08,92.60,93.89,94.21,94.63,91.85,96.43,90.92,88.87,91.34,88.92,94.96,93.05,89.53,89.22,89.54,88.51,85.00,91.66,84.71,84.93,86.81,85.49,84.93,85.24,83.15,80.94,81.23,78.79,81.02,85.26,82.81,84.06
GWP_100_AR5_GHG,FIN,Finland,,,765.26,765.07,740.43,749.88,806.27,775.61,787.64,815.18,862.17,981.91,873.61,823.60,795.88,811.50,799.07,790.07,809.36,806.42,706.32,694.28,754.75,757.90,679.78,642.61,583.04,583.42,561.19,580.18,598.77,602.16,423.64,417.99,463.11,433.08,430.70
GWP_100_AR5_GHG,FJI,Fiji,,,2130.43,2022.31,2159.96,2315.80,2425.23,2463.79,2512.08,2550.90,2518.40,2610.83,2786.07,2927.91,2624.87,2855.14,3345.50,3096.23,3240.46,3106.54,2675.45,2432.75,3072.65,2614.94,2581.89,2774.33,2479.34,2539.11,2533.81,2537.78,2676.89,2757.01,2147.93,2372.34,2525.60,2648.91,2750.90
GWP_100_AR5_GHG,FLK,Falkland Islands,,,164.79,162.94,157.26,157.34,161.28,165.64,151.86,162.17,154.62,152.13,154.73,151.96,153.10,155.47,155.71,155.92,158.98,161.80,162.57,164.19,164.00,160.02,160.83,162.80,163.81,164.31,166.03,164.29,161.50,164.38,165.20,168.01,169.55,171.43,172.89
GWP_100_AR5_GHG,FRA,France and Monaco,FR10,Ile-de-France,41023.13,44313.44,43470.35,41308.86,41699.95,42903.49,45833.13,45630.07,46848.71,46701.16,45889.77,47948.34,47173.44,47953.08,47596.47,46648.75,42888.99,42271.94,43765.20,44319.02,45730.24,42628.12,43376.78,42139.46,37529.19,38616.45,38011.81,38177.99,36016.35,35738.14,32709.51,34337.28,32156.38,29829.05,28565.12
GWP_100_AR5_GHG,FRA,France and Monaco,FRB0,Centre — Val de Loire,22761.43,23615.52,23254.52,23060.74,22848.00,23076.75,23719.37,23536.64,24231.41,24498.18,24688.56,25283.31,24898.87,24763.86,25073.84,24683.90,24378.37,24128.23,22830.47,22391.02,22627.59,21599.99,21718.51,21798.27,20964.65,21097.35,21053.35,21199.01,20722.26,20427.88,18267.15,19493.83,18888.39,18154.83,17815.30
GWP_100_AR5_GHG,FRA,France and Monaco,FRC1,Bourgogne,15177.44,15830.56,15504.77,14900.13,14688.85,14890.32,15382.67,15120.52,15679.28,15902.40,15738.08,15922.25,15658.69,15658.46,15800.21,15730.47,15442.77,15391.88,15110.07,14769.56,14851.42,14169.42,14430.10,14538.57,13732.05,13338.10,13294.29,13375.15,13044.84,12857.32,11573.98,12320.67,11959.06,11477.23,11281.31
GWP_100_AR5_GHG,FRA,France and Monaco,FRC2,Franche-Comté,7880.19,8215.33,8166.14,8067.89,7947.48,8050.52,8308.00,8207.86,8434.49,8546.42,8572.30,8829.99,8626.67,8689.16,8810.86,8819.65,8664.08,8487.80,8428.93,8231.22,8262.95,7928.80,7992.66,8053.52,7609.14,7859.34,7926.61,7973.24,7708.33,7619.16,6898.98,7306.42,7065.63,6740.80,6588.62
GWP_100_AR5_GHG,FRA,France and Monaco,FRD1,Basse-Normandie,12361.06,12862.57,12755.96,12572.02,12275.40,12388.50,12748.52,12657.66,12894.71,12991.67,13065.00,13331.36,13018.22,13041.20,13149.46,13091.29,12747.92,12641.16,12579.59,13070.89,13305.22,12821.87,12623.10,11931.37,11536.95,11740.23,11639.09,11589.47,11426.55,11240.81,10252.61,10747.81,10415.66,9966.76,9827.88
GWP_100_AR5_GHG,FRA,France and Monaco,FRD2,Haute-Normandie,29118.87,31425.19,30455.05,27986.57,28113.16,28810.74,30471.10,29605.40,30593.87,30420.06,31412.76,30418.49,29706.73,30430.15,30336.22,28478.08,26665.30,27465.92,28377.23,28131.95,26493.18,26717.38,25987.38,25192.90,20441.21,20450.16,20690.89,21094.36,19953.84,18769.04,16931.29,17481.86,15832.28,15242.26,14705.10
GWP_100_AR5_GHG,FRA,France and Monaco,FRE1,Nord-Pas de Calais,54045.43,56766.84,52081.18,49163.64,48791.98,48228.02,49569.08,47991.21,52078.62,44715.75,47579.26,47885.25,47882.58,48001.31,48707.82,54965.42,55422.09,53129.41,48735.04,44621.51,43400.42,42487.95,42157.72,41012.75,39358.19,38250.63,38844.93,38879.08,40370.99,40651.33,36453.34,40315.76,39169.03,34420.96,31579.75
GWP_100_AR5_GHG,FRA,France and Monaco,FRE2,Picardie,25253.05,29010.65,30545.81,29990.95,29337.54,30881.15,31551.89,28035.04,21326.78,19589.82,19229.78,19622.14,19550.04,19393.05,19155.85,18757.63,18530.62,18383.65,19414.23,18037.63,19721.90,18642.19,17897.43,18498.81,17810.89,17456.78,16755.83,17827.72,17314.65,17003.37,15294.60,17038.10,16333.34,15388.63,15047.42
GWP_100_AR5_GHG,FRA,France and Monaco,FRF1,Alsace,13526.11,14103.32,13932.17,13627.32,13510.44,13579.08,14250.69,14059.11,13905.08,13959.30,14004.48,14630.12,14145.76,14385.71,14198.20,13874.01,13171.25,13007.29,13120.25,12636.42,12963.02,13331.54,13366.80,13017.75,12068.45,12200.89,11979.61,12005.10,11859.84,11667.48,10761.10,11164.00,10487.62,10001.77,9712.24
GWP_100_AR5_GHG,FRA,France and Monaco,FRF2,Champagne-Ardenne,17012.19,18023.46,17052.30,15972.33,16058.79,16655.68,17045.17,16763.86,17299.65,16859.06,16470.62,16725.97,16677.33,16643.41,16750.11,16765.21,16650.02,16469.45,16387.57,15745.02,16396.18,15970.72,15537.47,15560.74,14929.94,18724.54,17660.17,14961.55,15626.64,14708.32,13537.25,14931.58,14533.09,13555.90,13339.31
