region_name,Country,EU Region,GDP,GDP per Capita,Unemployment %,Life Expectancy,Heart Disease Deaths per 100K,Cancer Deaths per 100K,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %
Etelä-Suomi,FI,Northern Europe,38.95,43100.00,7.50,81.40,137.59,211.03,38.00,50.00,36.50,16.20,91.63
Pohjois- ja Itä-Suomi,FI,Northern Europe,70.83,41600.00,6.90,81.20,166.18,204.64,42.00,48.50,6.20,16.00,91.78
Åland,FI,Northern Europe,105.21,54700.00,,85.10,117.23,230.61,0.00,40.50,19.60,,
Stockholm,SE,Northern Europe,17.23,68600.00,6.90,84.50,63.67,195.74,7.00,41.00,375.10,15.00,96.99
Östra Mellansverige,SE,Northern Europe,26.91,44600.00,9.10,83.20,93.14,215.26,25.00,47.00,45.90,19.10,95.59
Småland med öarna,SE,Northern Europe,0.10,43900.00,6.90,83.50,107.24,202.26,38.00,30.00,26.60,17.80,93.14
Sydsverige,SE,Northern Europe,26.72,44700.00,9.40,83.00,83.76,217.26,24.00,38.20,113.40,22.80,92.71
Västsverige,SE,Northern Europe,37.23,49700.00,7.40,83.40,89.95,210.86,23.00,51.20,72.10,18.00,95.76
Norra Mellansverige,SE,Northern Europe,33.49,38700.00,7.30,82.80,93.54,208.30,26.00,24.20,13.50,22.30,96.10
Mellersta Norrland,SE,Northern Europe,38.63,45600.00,6.50,82.30,106.74,216.16,21.00,26.50,5.30,17.70,93.31
Övre Norrland,SE,Northern Europe,24.45,50800.00,5.70,82.40,111.36,204.15,36.00,25.40,3.50,14.30,95.56
