,geo,region_name,Country,EU Region,GDP per Capita,GDP per Capita (PPS),Unemployment %,Employment in Hi-tech Sectors %,Life Expectancy,Doctors per 100K,Heart Disease Deaths per 100K,Cancer Deaths per 100K,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,Land Covered by Buildings and Roads %,Land Covered by Crops %,pc_1,pc_2,Cluster
0,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE,Western Europe,82300.00,190.00,10.60,7.00,82.10,518.68,49.84,211.03,5.00,53.80,7770.20,38.90,91.10,37.00,2.50,-3.03,-18.05,Cluster 2
1,BE21,Prov. Antwerpen,BE,Western Europe,60400.00,140.00,3.60,6.10,83.30,294.48,44.22,204.50,36.00,46.10,686.30,15.20,90.81,17.60,23.50,-3.43,-12.16,Cluster 0
2,BE22,Prov. Limburg (BE),BE,Western Europe,41300.00,96.00,3.20,4.10,83.20,281.87,42.19,202.63,36.00,42.20,377.00,11.70,91.27,12.60,26.50,-4.80,-12.06,Cluster 0
3,BE23,Prov. Oost-Vlaanderen,BE,Western Europe,48200.00,111.00,2.90,5.90,82.70,315.01,44.26,216.72,44.00,46.80,528.30,11.50,91.56,17.30,26.40,-4.18,-12.02,Cluster 0
4,BE24,Prov. Vlaams-Brabant,BE,Western Europe,55700.00,129.00,4.20,7.20,83.80,289.13,43.10,200.59,28.00,50.00,564.30,11.00,94.14,14.60,30.30,-3.08,-12.11,Cluster 0
5,BE25,Prov. West-Vlaanderen,BE,Western Europe,51300.00,119.00,2.80,2.80,83.10,279.23,44.12,206.51,52.00,40.00,389.00,10.80,87.83,16.70,33.40,-5.12,-12.42,Cluster 0
6,BE31,Prov. Brabant Wallon,BE,Western Europe,68200.00,158.00,5.70,8.80,83.20,374.08,46.38,203.32,48.00,62.00,378.00,21.30,90.49,12.80,40.00,-1.34,-12.40,Cluster 0
7,BE32,Prov. Hainaut,BE,Western Europe,31300.00,72.00,9.30,4.50,79.80,338.42,69.67,252.86,72.00,34.30,358.60,27.70,85.54,12.80,37.70,1.21,6.52,Cluster 0
8,BE33,Prov. Liège,BE,Western Europe,37500.00,87.00,9.10,4.20,80.80,388.82,58.85,241.38,51.00,38.60,293.00,22.80,87.96,11.00,17.90,6.21,0.59,Cluster 0
9,BE34,Prov. Luxembourg (BE),BE,Western Europe,31700.00,73.00,6.50,3.90,80.70,259.58,55.75,245.96,64.00,40.40,66.80,20.60,86.27,4.00,9.80,5.72,1.73,Cluster 0
10,BE35,Prov. Namur,BE,Western Europe,34800.00,80.00,6.60,6.70,80.80,366.89,66.18,235.12,59.00,44.10,138.50,20.00,86.50,6.00,25.80,5.35,0.08,Cluster 0
11,BG31,Северозападен (Severozapaden),BG,Central and Eastern Europe,9800.00,42.00,7.80,2.10,73.90,500.03,183.28,245.18,166.00,21.00,35.40,37.00,70.51,2.70,40.50,-5.46,14.42,Cluster 3
12,BG32,Северен централен (Severen tsentralen),BG,Central and Eastern Europe,10100.00,43.00,6.00,3.10,75.10,368.63,176.85,222.80,107.00,26.40,46.60,38.20,74.49,2.30,45.10,-6.52,13.88,Cluster 3
13,BG33,Североизточен (Severoiztochen),BG,Central and Eastern Europe,11500.00,50.00,4.50,2.10,75.50,438.54,191.40,240.54,84.00,30.30,56.70,28.60,75.53,2.30,49.70,-6.80,12.69,Cluster 3
14,BG34,Югоизточен (Yugoiztochen),BG,Central and Eastern Europe,12500.00,54.00,4.60,1.30,75.00,382.30,251.51,214.30,93.00,22.90,48.50,32.80,73.37,2.30,33.60,-7.24,13.54,Cluster 3
