,region_name,Country,EU Region,GDP,GDP per Capita,Unemployment %,Life Expectancy,Doctors per 100000,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,pc_1,pc_2
23,Calabria,IT,Southern Europe,30.90,16500.00,18.00,82.50,388.11,32.00,16.00,126.50,39.80,72.00,-11835.00,-57.73
24,Campania,IT,Southern Europe,102.83,18100.00,19.30,81.20,390.99,31.00,16.30,422.20,49.70,74.00,-10230.93,215.96
25,Canarias,ES,Southern Europe,39.16,17400.00,23.20,83.40,394.47,22.00,34.40,299.40,35.00,84.00,-10932.66,102.93
26,Cantabria,ES,Southern Europe,12.87,22100.00,11.50,83.20,515.45,27.00,42.50,110.50,19.40,82.00,-6235.59,-146.69
27,Castilla y León,ES,Southern Europe,55.40,23200.00,11.40,82.40,465.79,52.00,39.00,25.60,16.70,83.00,-5136.87,-248.53
28,Castilla-La Mancha,ES,Southern Europe,39.57,19400.00,15.60,81.10,282.57,47.00,30.80,25.80,30.70,84.00,-8936.83,-202.25
29,Cataluña,ES,Southern Europe,212.93,27800.00,11.60,82.30,489.63,27.00,42.30,238.10,18.80,88.00,-534.00,-98.35
30,Centre — Val de Loire,FR,Western Europe,71.57,27800.00,7.20,82.40,260.16,43.00,31.90,65.40,18.16,76.00,-537.07,-279.57
31,Centro (PT),PT,Southern Europe,38.41,17300.00,5.80,81.50,500.38,66.00,26.20,79.20,20.40,72.00,-11035.55,-112.30
32,Centru,RO,Central and Eastern Europe,24.57,10600.00,5.10,74.40,321.08,85.00,17.10,68.20,24.40,72.00,-17735.38,-37.12
33,Champagne-Ardenne,FR,Western Europe,36.66,27800.00,8.90,81.00,289.95,56.00,24.80,51.50,18.16,76.00,-537.31,-292.59
34,Chemnitz,DE,Western Europe,41.28,29100.00,2.30,80.00,408.93,47.00,27.00,219.90,18.30,82.00,765.10,-138.03
35,Ciudad de Ceuta,ES,Southern Europe,1.64,19500.00,26.60,79.80,905.79,24.00,25.70,4222.90,45.90,88.00,-8778.10,4012.42
36,Ciudad de Melilla,ES,Southern Europe,1.51,17900.00,19.80,79.30,503.67,12.00,34.30,6041.50,38.50,87.00,-10353.53,5837.65
37,Comunidad Foral de Navarra,ES,Southern Europe,19.26,29300.00,10.60,83.40,540.39,30.00,48.40,63.10,11.70,86.00,963.11,-292.76
38,Comunidad de Madrid,ES,Southern Europe,216.53,32000.00,11.60,82.30,519.84,16.00,50.20,839.70,19.00,90.00,3673.94,445.86
39,Comunitat Valenciana ,ES,Southern Europe,104.72,20800.00,15.90,82.60,393.03,26.00,38.00,216.20,27.00,87.00,-7534.00,-27.13
40,Corse,FR,Western Europe,8.82,25500.00,9.10,84.00,301.69,49.00,39.30,39.60,16.06,74.00,-2837.27,-272.28
41,Darmstadt,DE,Western Europe,203.86,50700.00,4.10,81.80,386.74,27.00,32.70,542.20,13.50,89.60,22367.74,-114.90
42,Detmold,DE,Western Europe,78.67,38300.00,4.10,81.40,424.78,34.00,25.90,316.30,15.50,90.80,9965.63,-168.20
43,Dolnośląskie,PL,Central and Eastern Europe,43.81,15100.00,4.00,76.20,316.09,58.00,36.10,144.90,14.50,79.40,-13234.70,-22.66
44,Drenthe,NL,Western Europe,15.58,31500.00,3.50,81.60,295.79,59.00,34.60,184.50,14.30,94.00,3164.13,-210.73
45,Dresden,DE,Western Europe,50.63,31800.00,3.30,80.80,307.91,26.00,32.10,205.60,16.60,85.80,3464.51,-193.07
46,Dél-Alföld,HU,Central and Eastern Europe,12.62,10300.00,4.50,75.40,358.32,54.00,21.60,68.10,14.90,79.00,-18035.28,-31.61
47,Dél-Dunántúl,HU,Central and Eastern Europe,8.44,9700.00,4.80,75.60,359.37,55.00,18.50,63.70,24.60,82.00,-18635.30,-27.67
48,Düsseldorf,DE,Western Europe,217.05,41700.00,4.50,80.50,433.03,24.00,28.90,1006.70,20.50,90.60,13375.13,475.43
49,Eastern and Midland,IE,Western Europe,186.17,75700.00,6.40,82.60,485.59,21.00,53.90,169.80,19.00,95.00,47360.27,-829.30
50,Eesti,EE,Northern Europe,26.83,20200.00,6.20,78.90,346.90,45.00,40.10,30.50,29.66,85.00,-8136.76,-206.37
51,Emilia-Romagna,IT,Southern Europe,149.36,33600.00,5.50,82.60,425.23,50.00,23.30,201.90,15.50,83.00,5264.66,-217.39
52,Etelä-Suomi,FI,Northern Europe,43.47,37900.00,7.50,81.90,367.93,42.00,43.50,36.60,16.30,91.00,9561.65,-444.29
53,Extremadura,ES,Southern Europe,19.39,18300.00,19.50,81.80,306.95,38.00,26.70,26.00,37.70,81.00,-10036.72,-185.97
54,Flevoland,NL,Western Europe,14.63,34300.00,4.60,81.70,126.49,24.00,35.00,292.50,15.80,92.00,5965.10,-147.30
55,Franche-Comté,FR,Western Europe,30.19,25500.00,7.00,81.60,307.48,54.00,33.80,72.60,16.06,78.00,-2836.77,-239.07
56,Freiburg,DE,Western Europe,86.68,38100.00,3.00,82.20,367.93,34.00,33.60,244.90,13.50,91.40,9764.60,-238.76
57,Friesland (NL),NL,Western Europe,21.00,32300.00,4.50,81.90,237.36,54.00,34.30,191.00,16.70,91.00,3964.06,-217.31
58,Friuli-Venezia Giulia,IT,Southern Europe,36.88,30600.00,5.70,82.80,404.61,39.00,21.40,159.90,13.80,82.00,2264.11,-218.85
59,Galicia,ES,Southern Europe,59.11,21900.00,11.70,83.70,474.96,38.00,40.30,92.00,24.30,81.00,-6435.80,-163.77
60,Gelderland,NL,Western Europe,82.04,39200.00,3.90,81.40,371.53,41.00,38.10,415.80,14.70,90.00,10866.84,-83.12
61,Gießen,DE,Western Europe,36.12,34400.00,3.50,81.00,332.22,46.00,30.00,194.90,17.10,85.60,6064.10,-239.03
62,Grad Zagreb,HR,Central and Eastern Europe,17.55,23400.00,5.50,81.64,367.57,75.20,34.18,110.68,17.90,80.00,-4935.98,-170.02
63,Groningen,NL,Western Europe,23.24,39700.00,5.40,81.10,546.22,46.00,40.60,247.90,23.00,90.00,11364.62,-251.82
64,Guadeloupe,FR,Western Europe,9.29,22600.00,17.10,80.60,277.88,124.00,23.30,247.00,20.10,65.00,-5734.24,-26.23
65,Guyane,FR,Western Europe,4.35,15000.00,14.60,77.02,219.22,115.00,18.70,3.40,19.10,79.00,-13336.93,-166.56
66,Hamburg,DE,Western Europe,119.14,64400.00,4.40,81.40,485.59,8.00,36.70,2597.50,23.70,92.80,36094.68,1752.76
67,Hannover,DE,Western Europe,84.49,39300.00,2.80,80.90,470.54,43.00,28.30,239.00,17.60,87.00,10964.55,-257.69
68,Haute-Normandie ,FR,Western Europe,51.35,27600.00,7.60,81.10,274.59,35.00,31.80,151.20,17.34,73.00,-735.89,-190.57
69,Helsinki-Uusimaa,FI,Northern Europe,93.28,55000.00,7.70,82.30,514.28,27.00,54.90,184.70,10.10,95.00,26662.36,-527.40
70,Hovedstaden,DK,Northern Europe,128.90,69700.00,5.70,81.50,500.65,15.00,53.10,756.00,17.50,95.00,41368.84,-160.15
71,Ile-de-France,FR,Western Europe,710.09,57400.00,8.00,82.70,386.90,20.00,54.30,1026.80,14.16,83.00,29074.85,278.22
72,Illes Balears,ES,Southern Europe,26.79,22000.00,14.80,83.90,366.83,31.00,34.80,241.20,15.10,89.00,-6333.99,-19.95
73,Jadranska Hrvatska,HR,Central and Eastern Europe,15.41,11500.00,9.50,79.30,327.82,71.00,26.40,56.00,22.00,78.00,-16835.63,-61.45
74,Jihovýchod,CZ,Central and Eastern Europe,31.79,18700.00,2.40,78.80,430.81,58.00,27.70,124.00,12.50,80.00,-9635.19,-89.34
75,Jihozápad,CZ,Central and Eastern Europe,20.98,17000.00,2.40,78.60,377.68,62.00,19.80,71.80,9.60,80.00,-11335.85,-119.93
76,Karlsruhe,DE,Western Europe,123.72,44000.00,3.30,81.80,421.38,33.00,34.50,409.30,14.50,86.00,15666.45,-154.08
77,Kassel,DE,Western Europe,44.27,36300.00,2.90,80.90,318.66,41.00,28.10,147.50,15.30,89.00,7963.26,-313.10
78,Koblenz,DE,Western Europe,50.57,33700.00,2.90,81.00,321.70,35.00,27.30,186.70,19.80,85.40,5364.07,-237.80
79,Kujawsko-pomorskie,PL,Central and Eastern Europe,23.03,11100.00,4.40,76.30,451.80,65.00,26.60,116.80,23.20,76.40,-17234.53,9.27
80,Kärnten,AT,Western Europe,20.70,36900.00,5.60,81.40,485.10,62.00,32.10,59.90,14.24,75.00,8562.19,-403.25
81,Köln,DE,Western Europe,193.31,43200.00,4.00,81.30,434.01,21.00,32.20,613.40,19.70,85.60,14869.51,61.66
