,region_name,Country,EU Region,GDP,GDP per Capita,Unemployment %,Life Expectancy,Doctors per 100000,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,pc_1,pc_2
125,Oberbayern,DE,Western Europe,273.50,58000.00,2.70,82.40,489.81,36.00,41.80,273.40,14.80,91.20,29663.62,-480.67
126,Oberfranken,DE,Western Europe,40.74,38300.00,3.30,80.70,424.78,32.00,27.70,147.80,18.70,91.60,9963.23,-336.66
127,Oberpfalz,DE,Western Europe,46.41,41700.00,2.50,80.70,434.17,42.00,29.70,115.20,17.42,88.20,13362.47,-415.98
128,Oberösterreich,AT,Western Europe,65.24,43700.00,3.80,81.70,426.53,45.00,31.10,126.80,15.80,81.00,15362.45,-432.29
129,Opolskie,PL,Central and Eastern Europe,10.53,10700.00,2.80,76.60,438.38,69.00,27.60,101.40,17.00,78.00,-17634.75,-1.12
130,Overijssel,NL,Western Europe,45.70,39300.00,3.80,81.20,265.13,40.00,37.70,344.90,15.80,90.00,10965.60,-159.21
131,Panonska Hrvatska,HR,Central and Eastern Europe,9.17,7900.00,9.70,73.84,268.88,90.80,15.60,75.02,39.46,65.20,-20435.15,5.14
132,Pays de la Loire,FR,Western Europe,116.15,30100.00,6.00,83.20,292.99,42.00,35.90,118.30,18.62,78.00,1763.58,-257.22
133,País Vasco,ES,Southern Europe,66.56,30400.00,9.80,83.40,563.31,19.00,53.40,303.70,14.40,84.00,2066.46,-66.54
134,Pest,HU,Central and Eastern Europe,14.60,11200.00,3.00,76.00,258.85,56.00,30.70,205.10,19.10,86.00,-17133.64,89.34
135,Picardie,FR,Western Europe,47.85,24700.00,9.70,80.40,257.53,50.00,32.60,99.40,18.50,77.00,-3636.36,-202.91
136,Piemonte,IT,Southern Europe,126.20,29400.00,7.30,81.60,370.31,42.00,19.80,172.30,16.70,80.00,1064.53,-190.83
137,Podkarpackie,PL,Central and Eastern Europe,20.07,9400.00,4.80,77.50,291.40,63.00,29.60,117.80,22.30,72.00,-18934.61,28.12
138,Podlaskie,PL,Central and Eastern Europe,11.79,10000.00,3.20,77.10,319.78,68.00,31.40,57.50,20.80,76.80,-18335.47,-39.48
139,Pohjois- ja Itä-Suomi,FI,Northern Europe,45.78,35900.00,7.80,81.50,330.98,48.00,42.00,6.30,19.00,91.00,7561.37,-448.24
140,Poitou-Charentes,FR,Western Europe,50.04,27400.00,8.60,82.80,298.29,56.00,33.40,70.00,17.34,80.00,-936.96,-268.23
141,Pomorskie,PL,Central and Eastern Europe,30.46,13000.00,2.30,77.20,371.14,73.00,34.90,130.60,15.30,79.00,-15334.64,-6.09
142,Praha,CZ,Central and Eastern Europe,58.04,43700.00,2.30,80.30,736.22,17.00,45.90,2714.30,7.90,88.00,15398.60,2164.38
143,Principado de Asturias,ES,Southern Europe,21.47,21100.00,12.50,82.20,398.31,22.00,44.20,96.60,24.60,85.00,-7235.84,-150.82
144,Prov. Antwerpen,BE,Western Europe,88.19,47000.00,5.20,82.00,271.16,33.00,41.00,665.80,18.34,86.00,18669.36,55.34
145,Prov. Brabant Wallon,BE,Western Europe,22.20,54400.00,6.80,81.90,525.24,47.00,59.70,369.70,13.46,92.00,26064.82,-334.17
146,Prov. Hainaut,BE,Western Europe,33.11,24500.00,10.30,78.00,253.30,57.00,32.40,354.80,18.50,77.00,-3832.87,54.83
147,Prov. Limburg (BE),BE,Western Europe,28.07,31800.00,3.40,82.30,256.65,47.00,37.70,367.50,15.54,87.00,3466.60,-33.29
148,Prov. Liège,BE,Western Europe,30.96,27800.00,9.40,78.60,358.81,56.00,39.70,289.70,18.16,84.00,-533.92,-52.13
149,Prov. Luxembourg (BE),BE,Western Europe,6.95,23900.00,5.60,79.90,231.48,100.00,42.50,64.60,18.80,85.00,-4436.92,-227.95
150,Prov. Namur,BE,Western Europe,13.18,26400.00,7.60,79.30,351.89,84.00,40.80,135.90,17.62,80.00,-1935.97,-186.92
151,Prov. Oost-Vlaanderen,BE,Western Europe,54.76,35800.00,2.80,81.80,292.63,45.00,44.10,512.30,14.76,90.00,7468.31,57.45
152,Prov. Vlaams-Brabant,BE,Western Europe,49.71,42800.00,4.00,82.60,409.53,28.00,51.40,544.70,17.60,91.00,14468.26,-2.76
153,Prov. West-Vlaanderen,BE,Western Europe,45.61,37900.00,3.60,81.90,262.07,42.00,38.70,380.80,14.80,89.00,9566.23,-104.09
154,Provence-Alpes-Côte d’Azur,FR,Western Europe,161.29,31500.00,8.10,83.00,404.03,45.00,40.00,162.40,15.54,76.00,3164.32,-228.47
155,Provincia Autonoma di Bolzano/Bozen,IT,Southern Europe,23.72,44400.00,3.80,82.80,324.38,58.00,17.60,72.20,11.50,82.00,16061.36,-500.36
